ResourceName,SettlementPointName,ResourceType
VENADO_UNIT1,VENADO_ALL,WIND
VENADO_UNIT2,VENADO_ALL,WIND
VERAWIND_UNIT1,VERAWIND_ALL,WIND
VERAWIND_UNIT2,VERAWIND_ALL,WIND
VERAWIND_UNIT3,VERAWIND_ALL,WIND
VERAWIND_UNIT4,VERAWIND_ALL,WIND
VERAWIND_UNIT5,VERAWIND_ALL,WIND
VERTIGO_WIND_I,VERTIGO_UN1,WIND
VISION_UNIT1,VISION_RN,PVGR
W_PECOS_UNIT1,W_PECO_UNIT1,PVGR
WAKEWE_G1_J01,WAKEWE_ALL,WIND
WAKEWE_G1_J02,WAKEWE_ALL,WIND
WAKEWE_G2_J01,WAKEWE_ALL,WIND
WAKEWE_G2_J02,WAKEWE_ALL,WIND
WAYMARK_UNIT1,WAYMARK_RN,PVGR
WEBBER_S_WSP1,WEBBER_WS_T1,PVGR
WEC_WECG1,WEC_WECG1,WIND
WGU_UNIT1,WGU_RN,PVGR
WH_WIND_UNIT1,WH_WIND_ALL,WIND
WH_WIND_UNIT2,WH_WIND_ALL,WIND
WHMESA_UNIT1,WHMESA_U1,WIND
WHTTAIL_WR1,WHTTAIL_WR1,WIND
WILDWIND_UNIT1,WILDWIND_ALL,WIND
WILDWIND_UNIT2,WILDWIND_ALL,WIND
WILDWIND_UNIT3,WILDWIND_ALL,WIND
WILDWIND_UNIT4,WILDWIND_ALL,WIND
WILDWIND_UNIT5,WILDWIND_ALL,WIND
WL_RANCH_UNIT1,WL_RANCH_RN,WIND
WNDTHST2_UNIT1,WNDTS2_UNIT1,WIND
WOODWRD1_WOODWRD1,WOO_WOODWRD1,WIND
WOODWRD1_WOODWRD1,WOODWRD1_RN,WIND
WOODWRD2_WOODWRD2,WOO_WOODWRD2,WIND
WOODWRD2_WOODWRD2,WOODWRD2_RN,WIND
